#{"t_start": 1774764985.563027, "env_id": "None"}
r,l,t
-1.0,23,37.213764
1.0,32,39.011225
-1.0,26,40.400253
-1.0,38,42.965842
1.0,36,44.458359
-1.0,30,45.640682
-1.0,38,47.043961
1.0,57,49.226693
1.0,49,53.744492
1.0,29,55.798392
-1.0,30,57.313578
-1.0,35,58.970818
1.0,28,60.504152
-1.0,27,62.235507
-1.0,27,63.793744
-1.0,30,65.291085
-1.0,37,67.917902
-1.0,26,69.722803
1.0,38,72.452496
1.0,28,74.149153
1.0,32,76.707751
1.0,29,78.400828
-1.0,34,80.036494
-1.0,31,81.617564
-1.0,23,82.722511
1.0,39,90.940849
1.0,40,93.041452
-1.0,28,95.857485
1.0,28,97.629019
-1.0,31,99.18362
1.0,31,101.817494
1.0,33,104.085909
1.0,22,105.375035
-1.0,30,106.990011
-1.0,19,108.785404
-1.0,41,115.110632
1.0,42,117.75228
1.0,37,119.327027
1.0,34,120.630967
-1.0,29,121.95187
-1.0,30,125.913717
-1.0,43,128.206774
1.0,38,132.67137
-1.0,38,135.388871
1.0,42,137.841758
-1.0,26,138.816642
1.0,25,139.620216
-1.0,38,142.705885
1.0,20,143.444547
1.0,24,144.319945
-1.0,30,145.489476
1.0,40,147.059699
1.0,27,148.024148
-1.0,31,149.089222
-1.0,23,149.856811
1.0,34,151.898623
1.0,25,153.956941
-1.0,32,156.445738
-1.0,45,158.851941
1.0,39,160.835298
1.0,36,162.582426
-1.0,24,163.566527
1.0,34,165.164991
-1.0,38,194.981021
-1.0,40,196.243106
1.0,30,197.380349
1.0,35,198.684884
1.0,44,200.42581
-1.0,76,203.160825
1.0,46,204.728137
-1.0,27,205.764793
1.0,26,206.757836
1.0,67,209.641455
-1.0,26,211.011415
-1.0,21,211.875713
-1.0,40,213.384149
1.0,31,214.465465
1.0,33,215.723461
-1.0,30,216.956575
1.0,38,218.314043
-1.0,29,219.315909
1.0,39,220.755304
-1.0,33,222.178104
-1.0,31,223.405177
-1.0,35,224.523074
-1.0,30,225.569933
-1.0,35,227.208142
-1.0,28,228.320189
-1.0,45,229.907006
-1.0,33,231.076623
1.0,22,232.113831
1.0,37,233.840053
-1.0,26,234.678938
1.0,27,235.822688
1.0,28,237.373576
-1.0,148,243.381797
1.0,32,244.404122
-1.0,26,245.371676
-1.0,20,246.076084
-1.0,31,247.420852
1.0,23,248.321126
1.0,41,249.710894
-1.0,33,250.79286
-1.0,70,253.289041
-1.0,27,254.278901
-1.0,29,255.296367
1.0,27,256.27893
1.0,33,257.364305
-1.0,53,259.347632
-1.0,21,260.235707
1.0,35,261.528393
-1.0,28,262.483302
1.0,32,263.649847
1.0,29,264.620232
-1.0,43,266.463881
1.0,34,267.691935
1.0,32,268.765758
-1.0,31,269.982916
-1.0,48,272.21811
1.0,37,307.131092
-1.0,35,308.999663
1.0,31,309.898156
-1.0,20,312.860821
1.0,33,317.028412
-1.0,30,318.137287
-1.0,34,321.048094
-1.0,26,324.123726
1.0,24,325.551794
-1.0,40,326.976575
-1.0,40,329.993967
1.0,37,332.540724
-1.0,27,333.971726
-1.0,104,338.447685
1.0,43,339.971844
1.0,60,342.067191
-1.0,33,343.485651
-1.0,32,346.764198
-1.0,36,348.074121
-1.0,23,348.85848
-1.0,27,349.784749
-1.0,40,352.040029
-1.0,36,353.749891
1.0,39,355.333911
-1.0,28,356.412096
-1.0,32,357.770216
-1.0,42,359.577024
1.0,38,361.077515
1.0,31,362.28939
-1.0,16,363.075621
-1.0,22,363.874105
1.0,32,364.852573
-1.0,32,365.988286
1.0,36,367.136615
-1.0,30,368.244595
1.0,33,369.536946
-1.0,32,370.707477
-1.0,48,372.653912
-1.0,34,373.907944
1.0,50,378.733603
-1.0,34,380.357605
1.0,32,381.47728
-1.0,55,383.486112
1.0,106,389.910477
-1.0,41,391.691514
-1.0,47,394.350098
1.0,48,396.962392
-1.0,27,398.060335
-1.0,32,399.457905
-1.0,35,401.186473
1.0,24,402.037729
1.0,44,403.651169
1.0,38,405.322075
1.0,28,406.595614
-1.0,33,408.142379
